기업명,인증연도,제품명
풀무원샘물,2013,풀무원샘물 [2L]
케이씨씨,2013,일반 석고보드 [9.5T]
케이씨씨실리콘,2015,SL1000(소시지형) 
벽산,2016,석고 시멘트판(아스텍스) 6T
크나우프석고보드,2016,일반석고보드 [9.5T]
해태에이치티비,2017,"강원 평창수 [2.0L, PET]"
엘엑스하우시스,2017," LG Z:IN PF board(난연, 경질발포 플라스틱 단열재Ⅰ,Ⅱ종 A)"
개나리벽지,2018,에비뉴
지성산업개발,2018,수로형 집수정(JS-01)
한국남동발전,2018,영동에코발전본부 생산전력[우드펠릿]
"피피아이파이프 (PPI PIPE CO., LTD.",2019,원터치2040방음관
씨에프에스인터내셔널,2019,"CS FLOOR[600x600x30T, SP형]"
현대엘앤씨,2019,디럭스타일[3T]
상일식품,2019,노브랜드 참깨스틱 [220g]
엘엑스하우시스,2019,"LGM500(무기질 시멘트 OA)[500x500x23T, R형]"
프라임에너텍,2019,프라임셀
스파클,2019,스파클 먹는샘물 [2.0L]
사회적협동조합 선흘곶,2019,다 같이돌자 동네한바퀴 프로그램
포스코인터내셔널,2019,열연강판(구조용)
세양,2019,"Premium Super 500 OA (500x500x24.5T, SP형)"
한울허브팜,2019,노브랜드 카모마일 베이비 물티슈 [100매x 6개]
무림피앤피,2019,네오스타아트
중앙케미칼후로아,2019,브라이온 바닥재용 파우다(SP-701)
하우테크,2019,"HT 페놀폼보드[준불연, 경질발포 플라스틱 단열재, I종 A]"
디아이디,2019,Preview
오죤,2019,노브랜드 토탈케어 칫솔 1set[4개입]
현대엘앤씨,2019,현대L&C 창호 프로파일
삼일레미콘,2020,레디믹스트 콘크리트[25-27-150]
한일시멘트,2020,레디믹스트 콘크리트[25-24-120]
동양/건재부문,2020,레디믹스트 콘크리트[25-24-150]
원광티에프에스,2020,"WKM-633SP[600x600x33T, SP형]"
에스피네이처,2020,레디믹스트 콘크리트[25-30-150]
현대정밀,2020,"ACCESS FLOOR(HDC600)[600x600x32T, SP형]"
아이에스중공업,2020,IEB(엠보싱 웨브를 가진 보)
무릉도원영농조합법인(발그레,2020,신선한 사과를 그대로 착즙한 사과한잔[140mL]
삼표산업,2020,레디믹스트 콘크리트[25-24-150]
피앤아이,2020,메가론 준불연 단열재(NMH U)
흥국산업,2020,레디믹스트 콘크리트[25-30-150]
서울벽지,2020,플레인
동화기업,2020,나투스 진 [98mmx815mmx7.5mm]
성신레미컨,2020,레디믹스트콘크리트[25-24-150]
산수음료,2020,EVERYDAY 산수[2.0L]
대흥수지,2020,DH 네오보드 3호(발포 폴리스티렌 단열재 비드법 2종(가 등급) 3호)
바커케미칼코리아,2020,"LS3000[소시지형, 500mL]"
케이에스더블유,2020,제이(J)
케이씨씨글라스,2020,숲 소리휴[6.0T]
성림건공,2020,STONCOAT[t=3mm]
삼일레미콘,2020,"레디믹스트 콘크리트[25-40-150,수도권]"
유진기업,2020,레디믹스트 콘크리트[25-30-150]
한국철도공사,2020,"철도운송서비스(KTX, 서울-부산 노선)"
아주산업,2020,레디믹스트 콘크리트[25-35-150]
금강레미콘(자,2020,레디믹스트 콘크리트[25-27-150]
삼성전자,2020,포터블 SSD T7 Touch
일신산업,2020,준불연 로이단열재(F1)
이건산업,2021,SERA[95mmX800mmX7.5T]
트렘코씨피지코리아,2021,SG300카트리지형 [310ml]
선진마루,2021,"SJ601[600X600X35T, R형]"
반도유니콘,2021,"레디믹스트 콘크리트[25-30-150, 수도권]"
디비하우징,2021,"디비 PF 보드[준불연 경질발포 플라스틱_l, Ⅱ종 A]"
안성테크,2021,"OA-ASSC-3 [500x500x23T, R형]"
동천,2021,경질폴리우레탄폼단열재[2종1호]
덕유패널,2021,"PF BOARD[경질 발포플라스틱 단열재 1종A,B]"
삼화공영,2021,"레디믹스트 콘크리트[25-27-150, 강원도]"
원익큐브,2021,LS3000 소시지형[500mL]
동천,2021,준불연경질폴리우레탄폼단열재2종[1㎥]
동명레미콘,2021,레디믹스트 콘크리트[25-21-120]
반도유니콘,2021,레디믹스트 콘크리트[25-24-150]
무림피앤피,2021,네오스타고급교과서지
서경산업,2021,레디믹스트 콘크리트[25-24-150]
부국레미콘,2021,레디믹스트 콘크리트[25-27-150]
한일시멘트,2021,레미탈(일반미장용)[40kg]
현대레미콘,2021,"레디믹스트 콘크리트[25-24-150, 수도권]"
세경산업,2021,세경SPF보드 [준불연 경질 발포 플라스틱 단열재 Ⅰ종A]
한라엔컴(ENCOM,2021,"레디믹스트콘크리트 [25-24-120, 수도권]"
우리도시개발,2021,"레디믹스트 콘크리트[25-35-150, 수도권]"
경동원,2021,파라소 육성용 인공토양
쌍용레미콘,2021,레디믹스트콘크리트[25-27-150]
윈체,2021,WINCHE 창호 칼라 프로파일
다스코,2021,경질폴리우레탄폼단열재 2종 2호
에코테크론,2021,에코테크론 복합기능 단열재
산들마루,2021,수오미 강마루[95mmx800mmx7.5mm]
금호석유,2021,Hugreen 창호 프로파일
에어론,2021,에어론 저방사 단열재(준불연)
윈앤윈우드,2021,로얄 크라운 강마루
토이론,2021,SNC Board(준불연경질 폴리우레탄)2종2호
제주특별자치도개발공사,2021,제주 삼다수 [330mL]
동산콘크리트산업,2021,이엠에코 축조블록A형[1kg]
케이디에프,2021,0.1/3T UNIDECO 플레이 TILE
세화산업,2021,"레디믹스트 콘크리트[25-24-150, 수도권]"
미래레미콘,2021,"레디믹스트 콘크리트[25-21-150, 수도권]"
재현인텍스,2021,백색 프로파일[1kg]
한솔홈데코,2021,한솔PF보드
항도레미콘,2021,"레디믹스트 콘크리트[25-30-150,경상도]"
대한폴리텍,2021,경질폴리우레탄폼단열재 [2종 2호]
서진레미콘,2021,"레디믹스트 콘크리트[25-21-150, 강원도]"
덕원산업,2021,"레디믹스트 콘크리트[25-27-150, 수도권]"
이비아이,2021,이비아이 경질우레탄폼보드 2종2호
도현레미콘_(안성사업장,2021,"레디믹스트 콘크리트 [25-21-150, 수도권]"
모헨즈,2021,"레디믹스트 콘크리트[25-21-150, 충청도]"
에스와이,2021,경질폴리우레탄폼단열재[2종2호]
케이산업,2021,경질폴리우레탄폼단열재 [2종1호]
동원,2022,"레디믹스트 콘크리트[25-27-150,충청도]"
동원레미콘,2022,"레디믹스트 콘크리트[25-35-150,충청도]"
동원레미콘 청주,2022,"레디믹스트 콘크리트[25-35-150,충청도]"
신성콘크리트공업,2022,"레디믹스트 콘크리트[25-40-150,수도권]"
성진레미콘,2022,"레디믹스트 콘크리트[25-27-150,수도권]"
동원레미콘세종,2022,"레디믹스트 콘크리트[25-35-150,충청도]"
삼표피앤씨,2022,"초고강도 PHC 파일 [110MPa, A종]"
한진레미콘,2022,"레디믹스트 콘크리트 [25-35-150, 경상도]"
한국지역난방공사,2022,대구지사 열 및 전기에너지[B-C유]
두리화학,2022,고강성 EDR 지하횡주관
신원하이테크,2022,경질폴리우레탄폼단열재[1종 3호]
대덕산업,2022,"레디믹스트 콘크리트[25-27-150,충청도]"
울산레미콘,2022,"레디믹스트 콘크리트[25-35-150,경상도]"
현창기업,2022,"레디믹스트 콘크리트[25-30-150,수도권]"
건설콘크리트,2022,"레디믹스트 콘크리트[25-27-150,수도권]"
건설기업,2022,"레디믹스트 콘크리트[25-30-150,수도권]"
우신산업개발,2022,"레디믹스트 콘크리트[25-30-150,경상도]"
한일산업,2022,"레디믹스트 콘크리트[25-30-150, 충청도]"
고려산업,2022,"레디믹스트 콘크리트[25-27-150, 충청도]"
도현레미콘_(양산사업장,2022,"레디믹스트 콘크리트 [25-27-150, 경상도]"
고려산업케이알,2022,"레디믹스트 콘크리트[25-24-150, 충청도]"
성현퍼라이트,2022,배수용 인공토양[1L]
비알인포텍,2022,BRGH-B22004XAI-T
재건테크,2022,"JGM600H(무기질 황산칼슘 GI ACC)[600X600X25T, SP형]"
동명레미콘,2022,"레디믹스트 콘크리트[25-24-150, 강원도]"
경동레미콘,2022,"레디믹스트 콘크리트[25-24-150,경상도]"
에스비비,2022,투수폴리콘_Bioriver
대원씨앤엠,2022,"레디믹스트 콘크리트[25-30-150,경상도]"
대원레미콘,2022,"레디믹스트 콘크리트 [25-35-150, 경상도]"
유성씨앤에프,2022,FINEO VCT[450X450X3T]
삼성,2022,"레디믹스트 콘크리트[25-35-150,수도권]"
"고려산업 (KORYO INDUSTRY CO.,LTD",2022,"레디믹스트 콘크리트[25-27-150, 충청도]"
삼덕산업,2022,"레디믹스트 콘크리트[25-35-150,수도권]"
부산산업,2022,"레디믹스트 콘크리트[25-30-150,경상도]"
명일폼,2022,"PF board(준불연, 경질 발포플라스틱 Ⅰ종A)"
미륭,2022,"레디믹스트 콘크리트[25-35-150,경상도]"
아세아시멘트,2022,아세아몰탈 (고급바닥용)
우진레미콘,2022,"레디믹스트 콘크리트[25-30-150,수도권]"
세기산업,2022,"레디믹스트 콘크리트 [25-27-150, 제주도]"
선일레미콘,2022,"레디믹스트 콘크리트[25-30-150,수도권]"
선일기업,2022,"레디믹스트 콘크리트[25-35-150,수도권]"
선일공업,2022,"레디믹스트 콘크리트[25-35-150,수도권]"
한일현대시멘트,2022,"일반시멘트(1종 보통 포틀랜드 시멘트, 벌크)"
한통레미콘,2022,"레디믹스트 콘크리트[25-24-150,경상도]"
삼양사,2022,큐원 하얀설탕[1ton]
동양 / 건재부문 본부지점,2022,"레디믹스트 콘크리트[25-35-150,수도권]"
공단레미콘,2022,"레디믹스트 콘크리트[25-30-150,충청도]"
표주레미콘,2022,"레디믹스트 콘크리트[25-24-150, 경상도]"
세진레미콘,2022,"레디믹스트 콘크리트[25-24-150,경상도]"
코카콜라음료,2022,"휘오 순수[2.0L, PET]"
대진,2022,데코리아 TILE[3T]
신우레미콘,2022,"레디믹스트 콘크리트[25-35-150,경상도]"
신아레미콘,2022,"레디믹스트 콘크리트[25-35-150,경상도]"
대왕레미콘,2022,"레디믹스트 콘크리트[25-24-180,경상도]"
성영레미콘,2022,"레디믹스트 콘크리트[25-24-150, 경상도]"
공단레미콘아스콘,2022,"레디믹스트 콘크리트[25-35-150,충청도]"
강원,2023,"레디믹스트 콘크리트[25-27-150, 수도권]"
에스와이씨,2023,경량기포콘크리트 발수블록[0.5품]
케이와이PC,2023,"레디믹스트 콘크리트[25-27-150, 수도권]"
반도유스콘,2023,"레디믹스트 콘크리트[25-21-150, 수도권]"
청암,2023,"레디믹스트 콘크리트[25-30-150,수도권]"
장원,2023,"레디믹스트 콘크리트[25-30-150, 수도권]"
인천레미콘,2023,"레디믹스트 콘크리트[25-27-150,수도권]"
동위기업,2023,디엔메종[800x95x7.5T]
삼양알엠씨,2023,"레디믹스트 콘크리트 [25-21-150, 수도권]"
한일레미콘,2023,"레디믹스트 콘크리트[25-21-150, 수도권]"
건설레미콘,2023,"레디믹스트 콘크리트[25-27-150,수도권]"
금성인슈텍,2023,경질 폴리우레탄 폼 단열재[2종2호]
세기레미콘,2023,"레디믹스트 콘크리트 [25-27-150, 제주도]"
대창스틸,2023,"A2-AF600C[600x600x35T, R형]"
제일E&S,2023,Leakblok-P200
건설하이콘,2023,"레디믹스트 콘크리트[25-30-150,수도권]"
지에스모아,2023,"E-1000[소시지형, 500mL]"
정선레미콘,2023,"레디믹스트 콘크리트[25-30-150, 수도권]"
정선,2023,"레디믹스트 콘크리트[25-40-150, 수도권]"
장원레미콘,2023,"레디믹스트 콘크리트[25-30-150, 수도권]"
삼양식품,2023,사또밥[67g]
일진기업,2023,"레디믹스트 콘크리트[25-30-150, 수도권]"
세종레미콘,2023,"레디믹스트 콘크리트[25-30-150,수도권]"
가야,2023,"레디믹스트 콘크리트[25-21-150, 수도권]"
영남산업,2023,PE피복파형강관
대성레미콘,2023,"레디믹스트 콘크리트[25-27-150,경상도]"
엘지생활건강,2023,"비욘드 딥모이스처 스무딩 바디에멀전 [500mL, PET]"
무림페이퍼,2023,네오스타백상쇼핑백
현대제철,2023,형강(H형강)
벽산,2023,벽산 석고텍스
삼기레미콘,2023,"레디믹스트 콘크리트[25-40-150, 수도권]"
동진파일,2023,"PHC 파일 [78.5MPa, A종]"
롯데칠성,2023,"칠성사이다 [1.5L,PET]"
월드비엠,2023,월드보드 준불연 CORE(심재준불연 PF보드)
한국신에츠실리콘,2023,"SEALANT-FC-295SG[드럼형, 250kg]"
에스피네이처,2023,"레디믹스트 콘크리트[25-30-150, 수도권]"
우림레미콘,2023,"레디믹스트 콘크리트[25-40-150, 수도권]"
한솔산업,2023,"레디믹스트 콘크리트[25-24-150,충청도]"
삼정레미콘,2023,"레디믹스트 콘크리트[25-30-150,수도권]"
삼양레미콘,2023,"레디믹스트 콘크리트 [25-35-150,수도권]"
세진산업개발,2023,"레디믹스트 콘크리트[25-27-150,수도권]"
삼양기업,2023,"레디믹스트 콘크리트[25-24-150,수도권]"
도건이엔텍,2023,DIB
흥국산업,2023,"레디믹스트 콘크리트[25-49-600, 수도권]"
스페이스링크,2023,바이오장풍(BJP-1100SV)
정선산업,2023,"레디믹스트 콘크리트[25-30-150, 수도권]"
정도산업,2023,"레디믹스트 콘크리트[25-18-80, 충청도]"
성우파일,2023,"초고강도PHC파일[110MPa, A종]"
신일씨엠,2023,"레디믹스트 콘크리트[25-30-150,충청도]"
신한벽지,2023,PVC벽지(잇스페이스) [1m2]
원방산업,2023,"레디믹스트 콘크리트[25-30-150,수도권]"
월드웍스,2023,"킹스PF보드[준불연, 경질 발포플라스틱 단열재]"
삼부테크,2023,방청포장재(SB20)
메라톤,2023,리네강[7.5T]
아주산업,2023,"초고강도 PHC파일[110Mpa, A종]"
만아,2023,"레디믹스트 콘크리트[25-40-150, 수도권]"
대왕레미콘,2023,"레디믹스트 콘크리트[25-24-150,수도권]"
크린피아,2023,노브랜드 깨끗한 주방세제[4L]
청진이엔씨,2023,네오스톤 투수 80T 차도용
아이에스동서,2023,"초고강도 PHC 파일 [110MPa, A종]"
지구코퍼레이션,2023,프리캐스트 철근콘크리트 암거
산양알앤에이,2023,"레디믹스트 콘크리트[25-35-150,경상도]"
화인바이오,2023,유어스 지리산 맑은 샘물[2.0L]
경안테크,2023,KG-KSI-GP254-SB2
일진레미콘,2023,"레디믹스트 콘크리트[25-27-150, 수도권]"
