기업명,인증연도,분야
대한제지,1997,폐지
전주페이퍼,1997,폐지
한일시멘트,1999,폐요업
한라시멘트 광양,1999,폐요업
와이에이치 충주공장,1999,폐플라스틱
대한시멘트 2공장,1999,폐요업
한국씨엔티,1999,폐요업
동광전업,2002,폐요업
명신비료,2002,유기성폐기물
우성세라믹스공업,2002,폐요업
대흥에프에스씨복합창,2002,폐플라스틱
서문기업,2004,폐요업
케이씨씨 문막공장,2004,폐유리
벽산 영동공장,2004,폐요업
남경중공업,2005,폐요업
태형기업 양주공장,2005,폐요업
생고뱅이소바코리아,2005,폐유리
서우실업,2005,폐플라스틱
벽산 익산공장,2005,폐유리
서우실업,2005,폐플라스틱
대창아스콘,2006,폐요업
홍창엠앤티 영천공장,2006,유기성폐기물
상산쎄라믹,2006,폐요업
주주콘크리트,2006,폐요업
보광산업,2006,폐요업
세아산업 약목,2007,폐요업
태형기업 화성공장,2007,폐요업
태창,2007,폐요업
주흘산업개발,2007,폐요업
금산공영,2007,폐요업
석진산업,2007,폐요업
광덕아스콘,2007,폐요업
대한제지,2008,폐지
동화산업,2008,폐요업
현대아스콘,2008,폐요업
통명석재,2008,폐요업
중앙아스콘,2008,폐요업
삼덕유화,2008,폐요업
드림라임,2008,수산물가공잔재물
대성아스콘,2008,폐요업
청주아스콘,2008,폐요업
부일레미콘,2008,폐요업
삼양아스콘,2008,폐요업
에스에이치산하인더스트리,2009,폐요업
동녘,2009,폐요업
진흥콘크리트,2009,폐요업
한밭산업,2009,폐요업
청산아스콘,2009,폐요업
장성산업 영월사업소,2009,폐요업
한솔제지 신탄진공장,2009,폐지
아키페이스,2009,폐목재
덕산,2009,폐요업
베스트,2009,수산물가공잔재물
대한시멘트 1공장,2009,폐요업
대평산업개발,2010,폐요업
88콘크리트,2010,폐요업
대영산업,2010,폐요업
대영산업,2010,폐요업
경기아스콘산업,2010,폐요업
대원아스콘,2010,폐요업
88콘크리트,2016,폐요업
태형실업,2010,폐요업
대경오앤티 서농지점,2010,유기성폐기물
대경오앤티 서농지점,2010,유기성폐기물
대한제지,2010,폐지
성광아스콘,2010,폐요업
대성개발,2010,폐요업
88콘크리트,2016,폐요업
대아산업,2010,폐요업
비젼세라믹,2010,폐요업
본우드,2010,폐목재
방태산업,2010,폐요업
우리아스콘,2011,폐요업
보광산업개발,2011,폐요업
동해산업아스콘프랜트,2011,폐요업
대연산업,2011,폐요업
더원,2011,폐고무
금강아스콘,2011,폐요업
한솔산업,2011,폐요업
동화기업,2011,폐목재
드림아스콘,2011,폐요업
토우세라믹,2011,폐요업
청호개발,2011,폐요업
신아에이치에스,2011,폐요업
전주페이퍼,2011,폐지
도원,2011,폐요업
신성아스콘,2011,폐요업
세양개발,2011,폐요업
에스지이,2012,폐요업
한일에코산업,2012,폐요업
대림아스콘,2012,폐요업
진우산업개발,2012,폐고무
전주페이퍼,2012,폐지
제룡산업 청산공장,2012,폐플라스틱
예일,2012,폐요업
조은비료,2012,유기성폐기물
일성기업,2012,폐요업
삼일아스콘,2012,폐요업
다성,2012,폐요업
신흥아스콘,2012,폐요업
영광아스콘,2012,폐요업
소원아스콘,2012,폐요업
대흥콘크리트,2013,폐요업
더우드,2013,폐목재
아시아플라텍,2013,폐플라스틱
케이와이PC,2013,폐요업
남양호안,2013,폐요업
우든테크,2013,폐목재
대한실업 성주지점,2013,폐플라스틱
삼일아스콘 화성사업소,2013,폐요업
삼덕,2013,폐요업
대한제지,2013,폐지
하나케이텍,2013,폐요업
한려케미칼,2013,수산물가공잔재물
전주페이퍼,2013,폐지
에스피에스엔에이 당진슬래그공장,2013,폐요업
본우드,2014,폐목재
일성기업,2014,폐요업
더우드,2014,폐목재
한설그린,2014,폐플라스틱
누보켐 인천,2014,폐요업
삼강산업개발,2014,폐요업
안성산업,2014,폐요업
삼덕산업 광주공장,2014,폐요업
태인아스콘,2014,폐요업
삼호건설 아스콘춘천지점,2014,폐요업
에스지이 경인아스콘지점,2015,폐요업
아스콘플러스,2015,폐요업
삼광아스콘,2015,폐요업
대한제지,2015,폐지
한일에코산업,2015,폐요업
