기업명,인증연도,제품명
한샘,2024,[223] 대변기
한국콜마,2024,[308] 샴푸·린스
한화,2024,[724] 생분해성 수지 제품
금호석유,2024,[243] 보온·단열재
금호타이어,2024,[502] 트럭·버스용 타이어
한국타이어앤테크놀로지,2024,[502] 트럭·버스용 타이어
롯데케미칼,2024,[727] 바이오매스 합성수지 제품
유한양행,2024,[303] 주방용 세제
세방전지,2024,[603] 산업용 축전지
한국앤컴퍼니,2024,[603] 산업용 축전지
코웨이,2024,[483] 침대
효성첨단소재,2024,[246] 실내용 바닥 장식재
한일시멘트,2024,[251] 접착제
한샘,2024,[223] 대변기
효성,2024,[146] 디지털 프로젝터
강원랜드,2024,[801] 호텔 서비스
대한전선,2024,[207] 전선케이블
현대제철,2024,[744] 슬래그 가공 제품
고려아연,2024,[744] 슬래그 가공 제품
호텔신라,2024,[801] 호텔 서비스
SK,2024,[503] 가솔린 자동차용 엔진오일
SK네트웍스,2024,[801] 호텔 서비스
삼성전자,2024,[229] 비데
유한양행,2024,[322] 방향제
