기업명,인증연도,리콜종류,품목
신지모루,2024,자발적리콜,마그네틱 보조배터리
휴리엔,2024,자발적리콜,가정용 음식물처리기
MTD Products Inc.,2024,자발적리콜,"잔디깍기(제로턴 잔디깍기, Zero Turn Lawn Mowers)"
산바다스포츠,2024,자발적리콜,캐논데일 데이브 자전거
하츠,2024,자발적리콜,전기레인지
에스알산전,2024,명령에따른리콜,조광기(스위치)
디에스이,2024,명령에따른리콜,조광기(스위치)
(유)우전케이블,2024,명령에따른리콜,"케이블(공칭단면적 95㎟이하)(전선, 케이블 및 코드류)"
에쎔,2024,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
진흥전기,2024,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
유성화학,2024,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
광명전기 (제품표시: 마노테크),2024,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
더모운,2024,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
픽스산업,2024,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
유지 (제품표시:  유건인더스트리),2024,명령에따른리콜,케이블릴(전기설비용 부속품 및 연결부품)
오아,2024,명령에따른리콜,전기오븐기기(주방용 전열기구)
유니맥스 이엔엘,2024,명령에따른리콜,전기레인지(핫플레이트 포함)(주방용 전열기구)
룩스램(판매원),2024,명령에따른리콜,안정기 내장형램프(LED용 포함)(안정기 내장형램프)
대양케이스,2024,명령에따른리콜,컴퓨터용 전원공급장치(컴퓨터용 전원공급장치)
이도디스플레이,2024,명령에따른리콜,컴퓨터용 전원공급장치(컴퓨터용 전원공급장치)
원대로 인터내셔널,2024,명령에따른리콜,전지(전지(충전지만 해당))
다빈치바이씨클,2024,명령에따른리콜,보호장구(어린이용 스포츠 보호용품(보호장구 및 안전모))
제이원팩토리,2024,명령에따른리콜,노리개젖꼭지(합성수지제 어린이용품)
바이클로,2024,명령에따른리콜,유아용 삼륜차(유아용 삼륜차)
나스포,2024,명령에따른리콜,운동완구(완구)
디자인쁘렝땅,2024,명령에따른리콜,봉제인형(완구)
글로벌SC,2024,명령에따른리콜,조종완구(완구)
유미상사,2024,명령에따른리콜,연필류·연필심(학용품)
다다,2024,명령에따른리콜,연필류·연필심(학용품)
모닝글로리,2024,명령에따른리콜,악기류(학용품)
하루하이,2024,명령에따른리콜,크레용·크레파스(학용품)
모모,2024,명령에따른리콜,연필깎이(학용품)
팝콘F&T,2024,명령에따른리콜,공책(학용품)
라페,2024,명령에따른리콜,필통(학용품)
저장일정문화용품유한회사,2024,명령에따른리콜,필통(학용품)
유연아이웨어,2024,명령에따른리콜,선글라스(어린이용 안경테 및 선글라스)
아이공간,2024,명령에따른리콜,어린이용 가죽제품(어린이용 가죽제품)
제이모션,2024,명령에따른리콜,책장(어린이용 가구)
다온인터내셔널,2024,명령에따른리콜,우산(어린이용 우산 및 양산)
더그로우,2024,명령에따른리콜,우산(어린이용 우산 및 양산)
린백,2024,명령에따른리콜,의자(어린이용 가구)
이토르,2024,명령에따른리콜,승차용 눈보호구(승차용 안전모)
소나코리아,2024,명령에따른리콜,승차용 안전모(승차용 안전모)
빅트리,2024,명령에따른리콜,휴대용 레이저용품(휴대용 레이저용품)
Tree,2024,명령에따른리콜,망간 건전지(건전지)
유한회사 영스커머스,2024,명령에따른리콜,계단식 소형 사다리(휴대용 사다리)
새실텍스피아,2024,명령에따른리콜,"방한용, 패션용, 스포츠용 마스크(방한용, 패션용, 스포츠용 마스크)"
야마하뮤직코리아,2024,자발적리콜,AC adaptor
이케아,2024,자발적리콜,오스크스토름(ÅSKSTORM) 40W USB 충전기 다크그레이
시디즈,2024,자발적리콜,몰티(molti)
한일좋은자리,2023,명령에따른리콜,전기요(전기담요 및 매트 전기침대)
삼지아이티,2023,명령에따른리콜,전지(전지(충전지만 해당))
비스코엘이디조명,2023,명령에따른리콜,LED램프(모듈)(그밖의 램프)
한일좋은자리,2023,명령에따른리콜,전기장판(전기담요 및 매트 전기침대)
두웰플래닛,2023,명령에따른리콜,전기찜질기(직류전원을 사용하는 전기찜질기 발보온기)
비타그램 (VitaGRAM),2023,명령에따른리콜,전기찜질기(직류전원을 사용하는 전기찜질기 발보온기)
아이룸코리아,2023,명령에따른리콜,전기찜질기(직류전원을 사용하는 전기찜질기 발보온기)
