기업명,인증연도,리콜종류,품목
이마트,2023,명령에따른리콜,플러그 및 콘센트(전기설비용 부속품 및 연결부품)
SK,2022,자발적리콜,6인용식기세척기
삼성전자,2022,자발적리콜,전기  세탁기 (드럼세탁기)
삼성물산,2022,명령에따른리콜,외의류(아동용 섬유제품)
신세계,2021,명령에따른리콜,가정용 섬유제품
LG,2021,자발적리콜,모가미 샌들 4종 (Black/Blue/Lime/Pink)
롯데쇼핑,2021,명령에따른리콜,아동용 섬유제품
금호타이어,2020,명령에따른리콜,자동차용 타이어
이마트,2020,자발적리콜,건전지(알칼리·망간 전지)
LG전자,2020,자발적리콜,텔레비전수상기
한샘,2020,자발적리콜,가구(씽크대)
SK,2019,자발적리콜,전기식기세척기
이마트,2018,명령에따른리콜,중의류(유아용 섬유제품)
삼성전자,2018,자발적리콜,N60NCBT Wireless
삼성전자,2018,자발적리콜,노트북 배터리
코웨이,2018,자발적리콜,전기냉수기
롯데쇼핑,2018,명령에따른리콜,아동복
롯데쇼핑,2018,명령에따른리콜,아동복
LS,2018,명령에따른리콜,아동용섬유제품(운동화)
이마트,2017,명령에따른리콜,휴대용 사다리
이마트,2017,자발적리콜,HOT&COOL 보온보냉에어포트
한샘,2017,권고에따른리콜,모모로 서랍장(4단)
신세계,2017,명령에따른리콜,아동용 섬유제품
한화,2016,명령에따른리콜,전기매트
한화,2016,명령에따른리콜,전기방석
한샘,2016,자발적리콜,진공블렌더 오젠
코웨이,2016,권고에따른리콜,"전기냉수기(탄산수, 제빙기겸용)"
코웨이,2016,권고에따른리콜,"전기냉수기(순간온수기, 커피메이커, 제빙기겸용)"
코웨이,2016,권고에따른리콜,전기냉수기(제빙기겸용)
코웨이,2016,권고에따른리콜,"전기냉수기(순간온수기, 제빙기겸용)"
삼성전자,2016,자발적리콜,스마트폰(배터리)
신세계,2016,명령에따른리콜,책가방
효성,2016,명령에따른리콜,휴대용레이저용품
한국타이어앤테크놀로지,2015,자발적리콜,제네시스용 순정 타이어'벤투스 S1 노블2'
효성,2015,명령에따른리콜,휴대용레이저용품
신세계,2015,명령에따른리콜,직류전원장치
LG,2014,자발적리콜,코트
