기업명,인증연도
대한제지,1997
전주페이퍼,1997
한일시멘트포항공장,1999
한라시멘트광양,1999
와이에이치충주공장,1999
대한시멘트2공장,1999
한국씨엔티,1999
동광전업,2002
명신비료,2002
우성세라믹스공업,2002
대흥에프에스씨복합창,2002
서문기업,2004
케이씨씨문막공장,2004
벽산영동공장,2004
남경중공업,2005
태형기업양주공장,2005
생고뱅이소바코리아,2005
서우실업,2005
벽산익산공장,2005
서우실업,2005
대창아스콘,2006
홍창엠앤티영천공장,2006
상산쎄라믹,2006
주주콘크리트,2006
보광산업,2006
세아산업약목,2007
태형기업화성공장,2007
태창,2007
주흘산업개발,2007
금산공영(합,2007
석진산업,2007
광덕아스콘,2007
대한제지,2008
동화산업,2008
현대아스콘,2008
통명석재,2008
중앙아스콘,2008
삼덕유화,2008
드림라임,2008
대성아스콘,2008
청주아스콘,2008
부일레미콘,2008
삼양아스콘,2008
에스에이치산하인더스트리,2009
동녘,2009
진흥콘크리트,2009
한밭산업,2009
청산아스콘,2009
장성산업영월사업소,2009
한솔제지신탄진공장,2009
아키페이스,2009
덕산,2009
베스트,2009
대한시멘트1공장,2009
대평산업개발,2010
88콘크리트,2010
대영산업,2010
대영산업,2010
경기아스콘산업,2010
대원아스콘,2010
88콘크리트,2016
태형실업,2010
대경오앤티서농지점,2010
대경오앤티서농지점,2010
대한제지,2010
성광아스콘,2010
대성개발,2010
88콘크리트,2016
대아산업,2010
비젼세라믹,2010
본우드,2010
방태산업,2010
우리아스콘,2011
보광산업개발,2011
동해산업아스콘프랜트,2011
대연산업,2011
더원,2011
금강아스콘,2011
한솔산업,2011
동화기업,2011
드림아스콘,2011
토우세라믹,2011
청호개발,2011
신아에이치에스,2011
전주페이퍼,2011
도원,2011
신성아스콘,2011
세양개발,2011
에스지이,2012
한일에코산업,2012
대림아스콘,2012
진우산업개발,2012
전주페이퍼,2012
제룡산업청산공장,2012
예일,2012
조은비료,2012
일성기업,2012
삼일아스콘,2012
다성,2012
신흥아스콘,2012
영광아스콘,2012
소원아스콘,2012
대흥콘크리트,2013
더우드,2013
아시아플라텍,2013
케이와이PC,2013
남양호안,2013
우든테크,2013
대한실업성주지점,2013
삼일아스콘화성사업소,2013
삼덕,2013
대한제지,2013
하나케이텍,2013
한려케미칼,2013
전주페이퍼,2013
