기업명,시작,종료
대한제지,1997-10-02,2026-01-26
전주페이퍼,1997-10-02,2026-07-24
 한일시멘트 ,1999-07-16,2026-03-07
한라시멘트 광양,1999-07-16,2026-03-07
와이에이치 ,1999-07-20,2026-01-26
대한시멘트 2공장,1999-11-25,2026-03-07
한국씨엔티,1999-12-17,2026-03-07
동광전업,2002-03-13,2024-04-28
명신비료,2002-06-11,2024-06-29
우성세라믹스공업,2002-06-12,2024-06-07
대흥에프에스씨복합창                   ,2002-07-31,2024-10-12
서문기업,2004-05-31,2024-09-02
케이씨씨 문막공장,2004-08-25,2025-07-26
벽산 영동공장,2004-12-17,2026-05-03
남경중공업,2005-06-29,2026-06-21
태형기업 양주공장,2005-07-26,2026-07-24
생고뱅이소바코리아,2005-10-18,2026-12-27
서우실업,2005-11-02,2027-02-01
벽산 익산공장,2005-11-19,2027-02-01
서우실업,2005-11-19,2027-02-01
대창아스콘,2006-01-20,2027-02-23
홍창엠앤티 영천공장,2006-01-26,2024-04-02
상산쎄라믹 ,2006-12-08,2025-04-19
주주콘크리트,2006-12-21,2024-12-20
보광산업,2006-12-21,2024-12-20
세아산업 약목,2007-05-25,2025-04-19
태형기업 화성공장,2007-08-29,2025-08-26
태창,2007-08-29,2025-08-26
주흘산업개발,2007-08-29,2025-07-26
금산공영(합,2007-08-29,2025-07-26
석진산업,2007-11-13,2025-10-27
광덕아스콘,2007-12-18,2025-12-22
대한제지,2008-02-01,2026-01-26
동화산업,2008-02-01,2025-12-22
현대아스콘,2008-03-08,2026-03-07
통명석재,2008-03-08,2026-03-07
중앙아스콘,2008-04-07,2026-04-06
삼덕유화,2008-04-08,2026-04-06
드림라임,2008-05-02,2026-05-03
대성아스콘,2008-06-20,2026-06-21
청주아스콘,2008-06-20,2026-06-21
부일레미콘,2008-07-23,2026-06-21
삼양아스콘,2008-11-12,2026-11-08
에스에이치산하인더스트리,2009-02-03,2027-01-11
동녘,2009-02-24,2027-02-23
진흥콘크리트,2009-02-24,2024-02-23
한밭산업,2009-04-03,2024-04-02
청산아스콘,2009-04-03,2024-04-02
장성산업 영월사업소,2009-04-30,2024-04-29
한솔제지 신탄진공장,2009-06-30,2024-06-29
아키페이스,2009-09-04,2024-09-02
덕산,2009-10-13,2024-10-12
베스트,2009-10-13,2024-10-12
대한시멘트 1공장,2009-12-21,2024-12-19
대평산업개발,2010-03-18,2025-03-17
88콘크리트,2010-04-20,2025-04-19
대영산업,2010-04-20,2025-04-19
대영산업,2010-04-20,2025-04-19
경기아스콘산업,2010-06-17,2025-06-16
대원아스콘,2010-06-17,2025-06-16
88콘크리트,2016-06-17,2025-06-16
태형실업,2010-07-27,2025-07-26
대경오앤티 서농지점,2010-07-27,2025-07-26
대경오앤티 서농지점,2010-07-27,2025-07-26
대한제지,2010-08-27,2025-08-26
성광아스콘,2010-08-27,2025-08-26
대성개발,2010-08-27,2025-08-26
88콘크리트,2016-09-16,2025-09-15
대아산업,2010-09-16,2025-09-15
비젼세라믹,2010-09-16,2025-09-15
본우드,2010-10-28,2025-10-27
방태산업,2010-12-01,2025-11-30
우리아스콘,2011-01-11,2026-01-10
보광산업개발,2011-01-27,2026-01-26
동해산업아스콘프랜트,2011-03-08,2026-03-07
대연산업,2011-03-08,2026-03-07
더원,2011-04-07,2026-04-06
금강아스콘,2011-04-07,2026-04-06
한솔산업,2011-05-04,2026-05-03
동화기업,2011-06-22,2026-08-24
드림아스콘,2011-06-22,2026-06-21
토우세라믹,2011-06-22,2026-06-21
