기업명,인증연도,리콜종류,label
신지모루,2024.0,자발적리콜,
휴리엔,2024.0,자발적리콜,
MTDProductsInc.,2024.0,자발적리콜,
산바다스포츠,2024.0,자발적리콜,
산바다스포츠,2019.0,자발적리콜,
산바다스포츠,2017.0,자발적리콜,
하츠,2024.0,자발적리콜,
에스알산전,2024.0,명령에따른리콜,
디에스이,2024.0,명령에따른리콜,
디에스이,2015.0,명령에따른리콜,
(유)우전케이블,2024.0,명령에따른리콜,
에쎔,2024.0,명령에따른리콜,
진흥전기,2024.0,명령에따른리콜,
유성화학,2024.0,명령에따른리콜,
광명전기(제품표시:마노테크),2024.0,명령에따른리콜,
더모운,2024.0,명령에따른리콜,
픽스산업,2024.0,명령에따른리콜,
유지(제품표시:유건인더스트리),2024.0,명령에따른리콜,
오아,2024.0,명령에따른리콜,
오아,2022.0,명령에따른리콜,
유니맥스이엔엘,2024.0,명령에따른리콜,
유니맥스이엔엘,2020.0,명령에따른리콜,
유니맥스이엔엘,2019.0,명령에따른리콜,
유니맥스이엔엘,2017.0,명령에따른리콜,
유니맥스이엔엘,2016.0,명령에따른리콜,
유니맥스이엔엘,2016.0,명령에따른리콜,
룩스램(판매원),2024.0,명령에따른리콜,
대양케이스,2024.0,명령에따른리콜,
이도디스플레이,2024.0,명령에따른리콜,
이도디스플레이,2018.0,명령에따른리콜,
원대로인터내셔널,2024.0,명령에따른리콜,
다빈치바이씨클,2024.0,명령에따른리콜,
제이원팩토리,2024.0,명령에따른리콜,
바이클로,2024.0,명령에따른리콜,
나스포,2024.0,명령에따른리콜,
디자인쁘렝땅,2024.0,명령에따른리콜,
글로벌SC,2024.0,명령에따른리콜,
유미상사,2024.0,명령에따른리콜,
유미상사,2017.0,명령에따른리콜,
다다,2024.0,명령에따른리콜,
다다,2018.0,명령에따른리콜,
다다,2018.0,명령에따른리콜,
모닝글로리,2024.0,명령에따른리콜,
모닝글로리,2022.0,명령에따른리콜,
모닝글로리,2017.0,명령에따른리콜,
하루하이,2024.0,명령에따른리콜,
모모,2024.0,명령에따른리콜,
모모,2018.0,명령에따른리콜,
팝콘F&T,2024.0,명령에따른리콜,
팝콘F&T,2021.0,명령에따른리콜,
팝콘F&T,2019.0,명령에따른리콜,
라페,2024.0,명령에따른리콜,
라페,2016.0,명령에따른리콜,
저장일정문화용품유한회사,2024.0,명령에따른리콜,
유연아이웨어,2024.0,명령에따른리콜,
아이공간,2024.0,명령에따른리콜,
제이모션,2024.0,명령에따른리콜,
다온인터내셔널,2024.0,명령에따른리콜,
더그로우,2024.0,명령에따른리콜,
더그로우,2023.0,명령에따른리콜,
더그로우,2023.0,명령에따른리콜,
더그로우,2022.0,명령에따른리콜,
더그로우,2021.0,명령에따른리콜,
더그로우,2021.0,명령에따른리콜,
더그로우,2020.0,명령에따른리콜,
린백,2024.0,명령에따른리콜,
이토르,2024.0,명령에따른리콜,
이토르,2022.0,명령에따른리콜,
이토르,2022.0,명령에따른리콜,
이토르,2021.0,명령에따른리콜,
소나코리아,2024.0,명령에따른리콜,
소나코리아,2023.0,명령에따른리콜,
빅트리,2024.0,명령에따른리콜,
빅트리,2018.0,명령에따른리콜,
Tree,2024.0,명령에따른리콜,
유한회사영스커머스,2024.0,명령에따른리콜,
새실텍스피아,2024.0,명령에따른리콜,
새실텍스피아,2020.0,명령에따른리콜,
야마하뮤직코리아,2024.0,자발적리콜,
야마하뮤직코리아,2020.0,자발적리콜,
이케아,2024.0,자발적리콜,
이케아,2023.0,자발적리콜,
이케아,2023.0,자발적리콜,
이케아,2023.0,자발적리콜,
이케아,2022.0,자발적리콜,
이케아,2019.0,자발적리콜,
이케아,2019.0,자발적리콜,
이케아,2018.0,자발적리콜,
이케아,2018.0,자발적리콜,
이케아,2018.0,자발적리콜,
이케아,2017.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,자발적리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
이케아,2016.0,권고에따른리콜,
시디즈,2024.0,자발적리콜,
시디즈,2020.0,자발적리콜,
한일좋은자리,2023.0,명령에따른리콜,
한일좋은자리,2023.0,명령에따른리콜,
삼지아이티,2023.0,명령에따른리콜,
삼지아이티,2017.0,명령에따른리콜,
비스코엘이디조명,2023.0,명령에따른리콜,
비스코엘이디조명,2021.0,명령에따른리콜,
비스코엘이디조명,2020.0,명령에따른리콜,
비스코엘이디조명,2017.0,명령에따른리콜,
두웰플래닛,2023.0,명령에따른리콜,
비타그램(VitaGRAM),2023.0,명령에따른리콜,
아이룸코리아,2023.0,명령에따른리콜,
한일전기매트,2023.0,명령에따른리콜,
한일전기매트,2019.0,명령에따른리콜,
한일전기매트,2014.0,명령에따른리콜,
한일전기매트,2014.0,명령에따른리콜,
닥터서플라이,2023.0,명령에따른리콜,
대호플러스,2023.0,명령에따른리콜,
대호플러스,2020.0,명령에따른리콜,
대호플러스,2019.0,명령에따른리콜,
대호플러스,2016.0,명령에따른리콜,
대호플러스,2015.0,명령에따른리콜,
대호플러스,2015.0,명령에따른리콜,
대호플러스,2015.0,명령에따른리콜,
대호플러스,2014.0,명령에따른리콜,
대호플러스,2014.0,명령에따른리콜,
대호플러스,2013.0,자발적리콜,
한솔일렉트로닉스,2023.0,명령에따른리콜,
창영테크,2023.0,명령에따른리콜,
제이제이코리아,2023.0,명령에따른리콜,
프로텍메디칼,2023.0,명령에따른리콜,
프로텍메디칼,2020.0,명령에따른리콜,
프로텍메디칼,2018.0,명령에따른리콜,
프로텍메디칼,2018.0,명령에따른리콜,
프로텍메디칼,2017.0,명령에따른리콜,
프롬비,2023.0,명령에따른리콜,
프롬비,2022.0,명령에따른리콜,
샤프에너지테크,2023.0,명령에따른리콜,
이음전산,2023.0,명령에따른리콜,
이음전산,2017.0,명령에따른리콜,
코리아씨티씨,2023.0,명령에따른리콜,
코리아씨티씨,2016.0,자발적리콜,
코리아씨티씨,2016.0,자발적리콜,
코리아씨티씨,2016.0,자발적리콜,
코리아씨티씨,2016.0,자발적리콜,
코리아씨티씨,2016.0,자발적리콜,
두인,2023.0,명령에따른리콜,
안토니오,2023.0,명령에따른리콜,
아폴로산업,2023.0,명령에따른리콜,
토이코리아,2023.0,명령에따른리콜,
토이코리아,2021.0,명령에따른리콜,
이프론비즈,2023.0,명령에따른리콜,
우진테크,2023.0,명령에따른리콜,
우진테크,2022.0,명령에따른리콜,
우진테크,2020.0,명령에따른리콜,
우진테크,2019.0,명령에따른리콜,
우진테크,2019.0,명령에따른리콜,
우진테크,2015.0,명령에따른리콜,
우진테크,2014.0,명령에따른리콜,
카멜드코리아,2023.0,명령에따른리콜,
아론상사,2023.0,명령에따른리콜,
에브리휠,2023.0,명령에따른리콜,
아성에이치엠피,2023.0,명령에따른리콜,
아성에이치엠피,2020.0,자발적리콜,
아성에이치엠피,2020.0,명령에따른리콜,
아성에이치엠피,2018.0,명령에따른리콜,
유니콘,2023.0,명령에따른리콜,
미스티,2023.0,명령에따른리콜,
세주,2023.0,명령에따른리콜,
컴포인트,2023.0,명령에따른리콜,
컴포인트,2018.0,명령에따른리콜,
미리글로벌,2023.0,명령에따른리콜,
동심무역,2023.0,명령에따른리콜,
보스꼬,2023.0,명령에따른리콜,
케이엘뮤직코퍼레이션,2023.0,명령에따른리콜,
아트박스,2023.0,명령에따른리콜,
아트박스,2019.0,명령에따른리콜,
아트박스,2017.0,명령에따른리콜,
아트박스,2017.0,명령에따른리콜,
아트박스,2016.0,명령에따른리콜,
유아림,2023.0,명령에따른리콜,
유어체어스,2023.0,명령에따른리콜,
대영,2023.0,명령에따른리콜,
샘글로벌,2023.0,명령에따른리콜,
무한,2023.0,명령에따른리콜,
씨케이세일즈,2023.0,명령에따른리콜,
꼬맹이팩토리,2023.0,명령에따른리콜,
리파코,2023.0,명령에따른리콜,
리파코,2023.0,명령에따른리콜,
리파코,2023.0,명령에따른리콜,
와우트레이딩컴퍼니,2023.0,명령에따른리콜,
아이비케어,2023.0,자발적리콜,
현주무역,2023.0,자발적리콜,
나눅스네트웍스,2023.0,자발적리콜,
나눅스네트웍스,2021.0,자발적리콜,
나눅스네트웍스,2018.0,자발적리콜,
나눅스네트웍스,2017.0,자발적리콜,
아성,2023.0,자발적리콜,
아성,2021.0,명령에따른리콜,
